location,house_square_feet,stories,bed_rooms,bathrooms,kitchen,dining_room,parking,land_size_perch,build_year,pool,furnished,property_type,price,property_age,price_per_sqft,total_rooms
Angoda,5384,1,4,2,1.0,0,1,15.36,1976,0,0,Residential,60600000,49,11255.572065378901,6
Angoda,4600,1,1,3,1.0,1,1,6.47,1996,0,0,Residential,66100000,29,14369.565217391304,4
Angoda,2233,1,3,2,1.0,1,0,19.2,2020,1,1,Residential,30100000,5,13479.623824451412,5
Angoda,2752,1,3,1,1.0,1,2,3.82,2007,0,0,Residential,29600000,18,10755.813953488372,4
Angoda,1110,2,2,4,1.0,1,0,8.71,1989,0,0,Residential,5080000,36,4576.576576576576,6
Angoda,984,2,5,3,1.0,1,0,18.3,2015,1,0,Residential,23600000,10,23983.739837398374,8
Angoda,1004,3,2,1,1.0,1,1,8.62,1996,0,0,Residential,89500000,29,89143.42629482072,3
Angoda,5213,2,3,3,1.0,0,1,19.03,2014,0,1,Residential,13600000,11,2608.862459236524,6
Angoda,5171,2,1,3,1.0,0,1,24.91,2013,0,0,Residential,9820000,12,1899.0524076580932,4
Angoda,2600,3,2,1,1.0,1,1,20.54,2015,0,0,Residential,59300000,10,22807.69230769231,3
Angoda,3356,3,4,3,1.0,1,1,10.52,2015,0,0,Residential,78200000,10,23301.5494636472,7
Angoda,2268,3,4,3,1.0,1,2,22.81,1985,0,0,Residential,18700000,40,8245.14991181658,7
Angoda,2060,2,1,1,1.0,0,0,4.13,1978,0,0,Residential,37200000,47,18058.252427184467,2
Angoda,4236,2,3,3,1.0,1,2,18.95,1981,0,0,Residential,32500000,44,7672.33238904627,6
Angoda,3324,3,4,2,1.0,0,0,3.51,1995,0,1,Residential,66800000,30,20096.269554753308,6
Angoda,5409,3,4,3,1.0,0,1,6.84,1981,0,0,Commercial,86900000,44,16065.816232205583,7
Angoda,4778,3,5,4,1.0,1,2,24.73,1978,0,0,Residential,56600000,47,11845.960652992884,9
Angoda,5864,2,2,3,1.0,0,0,10.94,1986,0,0,Residential,73600000,39,12551.159618008185,5
Angoda,2648,2,3,4,1.0,1,1,21.05,2001,0,1,Residential,90200000,24,34063.44410876133,7
Angoda,4746,1,2,4,1.0,0,1,11.27,1991,0,0,Residential,58900000,34,12410.450906026128,6
Angoda,5380,2,3,3,1.0,1,2,21.48,1994,0,1,Residential,13400000,31,2490.7063197026023,6
Angoda,1316,2,4,1,1.0,1,2,24.24,2005,0,0,Residential,77800000,20,59118.54103343465,5
Angoda,5144,2,5,2,1.0,0,2,12.58,2000,0,0,Residential,24800000,25,4821.150855365474,7
Angoda,5576,3,2,2,1.0,0,1,15.31,2005,0,0,Residential,52400000,20,9397.417503586801,4
Angoda,5183,2,4,3,1.0,0,0,16.83,2009,0,0,Residential,99400000,16,19178.08219178082,7
Angoda,2423,3,3,1,1.0,1,0,23.57,1983,0,0,Residential,84300000,42,34791.580685101115,4
Angoda,2681,1,2,1,1.0,0,2,8.65,1979,0,0,Residential,13000000,46,4848.93696381947,3
Angoda,4019,1,2,2,1.0,0,0,16.45,2022,0,0,Residential,81600000,3,20303.558099029608,4
Angoda,2174,3,4,1,1.0,1,1,10.14,1982,0,0,Residential,84600000,43,38914.44342226311,5
Angoda,849,3,2,3,1.0,1,0,7.77,1995,0,0,Residential,27700000,30,32626.619552414606,5
Angoda,1273,3,5,3,1.0,0,1,4.87,1990,1,0,Residential,12700000,35,9976.43362136685,8
Angoda,5133,2,5,1,1.0,0,2,16.66,1990,0,0,Residential,94300000,35,18371.322813169685,6
Angoda,2765,1,4,3,1.0,0,0,22.41,1992,0,0,Residential,64000000,33,23146.47377938517,7
Angoda,1370,3,3,4,1.0,1,1,10.73,2021,0,0,Residential,77200000,4,56350.36496350365,7
Angoda,4562,2,4,2,1.0,1,2,15.16,2002,0,1,Residential,84300000,23,18478.737395879,6
Angoda,4963,1,5,3,1.0,0,2,17.13,1992,0,1,Residential,85000000,33,17126.737860165224,8
Angoda,2584,2,1,1,1.0,1,2,12.12,1988,0,0,Residential,23400000,37,9055.727554179566,2
Angoda,1677,1,1,2,1.0,0,2,22.87,2022,1,0,Commercial,76300000,3,45497.91293977341,3
Angoda,835,2,2,3,1.0,0,0,10.98,2011,0,0,Residential,12700000,14,15209.580838323353,5
Angoda,988,1,2,2,1.0,1,1,5.75,2014,0,0,Residential,97600000,11,98785.42510121457,4
Angoda,3637,1,1,1,1.0,0,0,6.17,1990,0,1,Commercial,44500000,35,12235.358812207864,2
Angoda,5458,2,5,4,1.0,0,1,22.6,1995,1,1,Residential,20200000,30,3700.989373396849,9
Angoda,2448,3,2,4,1.0,1,2,24.74,1975,0,1,Residential,62500000,50,25531.04575163399,6
Angoda,5319,1,4,3,1.0,0,0,9.36,1985,0,0,Commercial,16500000,40,3102.086858432036,7
Angoda,3414,3,4,4,1.0,0,2,6.16,1985,0,1,Residential,18200000,40,5330.990041007616,8
Angoda,3974,2,5,3,1.0,1,1,13.61,1976,0,0,Commercial,68000000,49,17111.2229491696,8
Angoda,3878,3,2,2,1.0,0,2,18.61,2006,0,0,Residential,46700000,19,12042.289840123774,4
Angoda,1852,3,4,3,1.0,0,0,16.47,1993,0,0,Commercial,52900000,32,28563.714902807777,7
Angoda,4581,3,2,3,1.0,1,0,23.92,1979,0,1,Residential,75500000,46,16481.117659899584,5
Angoda,5273,3,2,3,1.0,1,1,20.99,1977,0,0,Residential,48600000,48,9216.764650104305,5
Angoda,2722,3,4,4,1.0,1,1,22.12,2002,0,0,Commercial,23700000,23,8706.833210874358,8
Angoda,5130,1,1,3,1.0,0,0,14.92,2000,0,0,Residential,32500000,25,6335.282651072125,4
Angoda,2750,1,4,1,1.0,1,0,10.2,1997,0,0,Residential,34400000,28,12509.09090909091,5
Angoda,5459,1,5,3,1.0,0,0,18.44,2004,0,0,Residential,69400000,21,12712.951089943213,8
Angoda,1929,2,3,2,1.0,1,0,12.66,1982,0,0,Residential,92600000,43,48004.14722654225,5
Angoda,1958,3,4,1,1.0,0,1,9.33,2010,0,1,Residential,19400000,15,9908.069458631257,5
Angoda,3082,1,2,2,1.0,0,0,6.35,2003,0,0,Residential,66900000,22,21706.683971447113,4
Angoda,5142,2,2,2,1.0,1,1,14.61,1987,0,0,Residential,9410000,38,1830.0272267600155,4
