location,house_square_feet,stories,bed_rooms,bathrooms,kitchen,dining_room,parking,land_size_perch,build_year,pool,furnished,property_type,price
Angoda,5384,1,4,2,1.0,0,1,15.36,1976,no,no,Residential,60648318
Angoda,4600,1,1,3,1.0,1,1,6.47,1996,no,no,Residential,66112713
Angoda,2233,1,3,2,1.0,1,0,19.2,2020,yes,yes,Residential,30126390
Angoda,2752,1,3,1,1.0,1,2,3.82,2007,no,no,Residential,29599918
Angoda,1110,2,2,4,1.0,1,0,8.71,1989,no,no,Residential,5075229
Angoda,984,2,5,3,1.0,1,0,18.3,2015,yes,no,Residential,23561842
Angoda,1004,3,2,1,1.0,1,1,8.62,1996,no,no,Residential,89541828
Angoda,5213,2,3,3,1.0,0,1,19.03,2014,no,yes,Residential,13569419
Angoda,5171,2,1,3,1.0,0,1,24.91,2013,no,no,Residential,9820393
Angoda,2600,3,2,1,1.0,1,1,20.54,2015,no,no,Residential,59258677
Angoda,3356,3,4,3,1.0,1,1,10.52,2015,no,no,Residential,78217613
Angoda,2268,3,4,3,1.0,1,2,22.81,1985,no,no,Residential,18704693
Angoda,2060,2,1,1,1.0,0,0,4.13,1978,no,no,Residential,37170263
Angoda,4236,2,3,3,1.0,1,2,18.95,1981,no,no,Residential,32482676
Angoda,3324,3,4,2,1.0,0,0,3.51,1995,no,yes,Residential,66832372
Angoda,5409,3,4,3,1.0,0,1,6.84,1981,no,no,Commercial,86881024
Angoda,4778,3,5,4,1.0,1,2,24.73,1978,no,no,Residential,56576181
Angoda,5864,2,2,3,1.0,0,0,10.94,1986,no,no,Residential,73643049
Angoda,2648,2,3,4,1.0,1,1,21.05,2001,no,yes,Residential,90242041
Angoda,4746,1,2,4,1.0,0,1,11.27,1991,no,no,Residential,58863204
Angoda,5380,2,3,3,1.0,1,2,21.48,1994,no,yes,Residential,13364106
Angoda,1316,2,4,1,1.0,1,2,24.24,2005,no,no,Residential,77797097
Angoda,5144,2,5,2,1.0,0,2,12.58,2000,no,no,Residential,24776197
Angoda,5576,3,2,2,1.0,0,1,15.31,2005,no,no,Residential,52435342
Angoda,5183,2,4,3,1.0,0,0,16.83,2009,no,no,Residential,99353640
Angoda,2423,3,3,1,1.0,1,0,23.57,1983,no,no,Residential,84295655
Angoda,2681,1,2,1,1.0,0,2,8.65,1979,no,no,Residential,13016406
Angoda,4019,1,2,2,1.0,0,0,16.45,2022,no,no,Residential,81580246
Angoda,2174,3,4,1,1.0,1,1,10.14,1982,no,no,Residential,84575013
Angoda,849,3,2,3,1.0,1,0,7.77,1995,no,no,Residential,27705381
Angoda,1273,3,5,3,1.0,0,1,4.87,1990,yes,no,Residential,12749424
Angoda,5133,2,5,1,1.0,0,2,16.66,1990,no,no,Residential,94346943
Angoda,2765,1,4,3,1.0,0,0,22.41,1992,no,no,Residential,63974854
Angoda,1370,3,3,4,1.0,1,1,10.73,2021,no,no,Residential,77187279
Angoda,4562,2,4,2,1.0,1,2,15.16,2002,no,yes,Residential,84316982
Angoda,4963,1,5,3,1.0,0,2,17.13,1992,no,yes,Residential,84974437
Angoda,2584,2,1,1,1.0,1,2,12.12,1988,no,no,Residential,23378594
Angoda,1677,1,1,2,1.0,0,2,22.87,2022,yes,no,Commercial,76319654
Angoda,835,2,2,3,1.0,0,0,10.98,2011,no,no,Residential,12692432
Angoda,988,1,2,2,1.0,1,1,5.75,2014,no,no,Residential,97611314
Angoda,3637,1,1,1,1.0,0,0,6.17,1990,no,yes,Commercial,44475859
Angoda,5458,2,5,4,1.0,0,1,22.6,1995,yes,yes,Residential,20186747
Angoda,2448,3,2,4,1.0,1,2,24.74,1975,no,yes,Residential,62530789
Angoda,5319,1,4,3,1.0,0,0,9.36,1985,no,no,Commercial,16475262
Angoda,3414,3,4,4,1.0,0,2,6.16,1985,no,yes,Residential,18184637
Angoda,3974,2,5,3,1.0,1,1,13.61,1976,no,no,Commercial,67961343
Angoda,3878,3,2,2,1.0,0,2,18.61,2006,no,no,Residential,46679332
Angoda,1852,3,4,3,1.0,0,0,16.47,1993,no,no,Commercial,52906898
Angoda,4581,3,2,3,1.0,1,0,23.92,1979,no,yes,Residential,75516244
Angoda,5273,3,2,3,1.0,1,1,20.99,1977,no,no,Residential,48558175
Angoda,2722,3,4,4,1.0,1,1,22.12,2002,no,no,Commercial,23667366
Angoda,5130,1,1,3,1.0,0,0,14.92,2000,no,no,Residential,32506152
Angoda,2750,1,4,1,1.0,1,0,10.2,1997,no,no,Residential,34420811
Angoda,5459,1,5,3,1.0,0,0,18.44,2004,no,no,Residential,69427640
Angoda,1929,2,3,2,1.0,1,0,12.66,1982,no,no,Residential,92649902
Angoda,1958,3,4,1,1.0,0,1,9.33,2010,no,yes,Residential,19421588
Angoda,3082,1,2,2,1.0,0,0,6.35,2003,no,no,Residential,66916751
Angoda,5142,2,2,2,1.0,1,1,14.61,1987,no,no,Residential,9411542
Angoda,2617,1,4,2,1.0,0,0,16.07,1999,no,no,Residential,32783897
Angoda,1931,1,3,1,1.0,0,0,15.51,1996,no,yes,Residential,32428878
Angoda,4944,3,4,1,1.0,1,2,5.56,2020,no,no,Commercial,30653348
Angoda,4861,2,3,4,1.0,0,2,15.54,2007,no,yes,Residential,80801355
Angoda,1958,3,3,1,1.0,0,0,6.71,2011,no,no,Residential,87959747
Angoda,5715,3,5,3,1.0,0,1,17.6,1981,no,yes,Commercial,68357986
Angoda,5237,1,2,2,1.0,1,0,12.45,1997,yes,no,Residential,85513374
Angoda,5454,3,2,4,1.0,1,2,21.67,1980,no,no,Residential,79066876
Angoda,3777,2,3,1,1.0,1,0,20.12,1989,no,no,Residential,20381116
Angoda,2728,3,2,2,1.0,1,2,18.94,1989,no,no,Residential,44024288
Angoda,2780,3,1,1,1.0,1,0,18.42,2014,no,yes,Residential,73858380
Angoda,5492,3,3,4,1.0,1,0,15.33,2008,no,yes,Commercial,95390955
Angoda,737,1,2,1,1.0,1,1,4.34,1988,no,no,Residential,26681061
Angoda,4072,2,1,1,1.0,1,2,17.42,2003,no,no,Commercial,74859953
Angoda,3432,1,5,2,1.0,0,2,13.27,1990,no,no,Commercial,31576964
Angoda,4179,1,2,3,1.0,0,2,13.33,2003,no,no,Residential,83692911
Angoda,3631,1,1,1,1.0,0,1,11.34,1997,no,no,Residential,22822544
Angoda,4764,1,4,4,1.0,0,0,23.44,1984,no,no,Residential,99704961
Angoda,3193,1,4,1,1.0,1,1,8.49,2021,no,no,Residential,75694832
Angoda,4900,2,1,1,1.0,0,0,9.97,1978,no,no,Residential,65384617
Angoda,4418,3,3,3,1.0,0,1,24.19,1986,no,no,Commercial,62330233
Angoda,4738,1,3,2,1.0,0,1,20.82,2016,no,no,Residential,22465933
Angoda,4423,1,2,4,1.0,0,2,3.31,2008,no,no,Residential,76620811
Angoda,4642,2,4,2,1.0,0,1,22.93,1978,yes,no,Residential,53733920
Angoda,2506,2,3,2,1.0,1,0,7.99,1994,no,no,Residential,58242630
Angoda,1360,3,3,2,1.0,1,1,18.53,2002,yes,no,Residential,12988838
Angoda,4045,2,4,1,1.0,0,1,15.17,2002,no,no,Commercial,87191468
Angoda,1499,3,5,3,1.0,0,0,14.81,1980,no,no,Residential,91004099
Angoda,5055,1,3,1,1.0,0,2,18.79,1988,no,yes,Residential,30420191
Angoda,3547,1,1,4,1.0,0,0,7.56,2009,yes,yes,Residential,15162487
Angoda,2319,3,2,3,1.0,1,0,6.5,2021,no,no,Residential,44352571
Angoda,880,2,3,2,1.0,0,0,17.34,1975,no,no,Residential,73532211
Angoda,3866,3,3,3,1.0,1,1,9.39,1993,no,no,Residential,45683079
Angoda,2487,2,5,4,1.0,0,1,24.43,1975,no,yes,Residential,34189811
Angoda,3866,1,1,1,1.0,1,0,12.93,1987,yes,no,Residential,36903502
Angoda,1266,2,2,1,1.0,1,0,5.46,1982,no,yes,Residential,37092023
Angoda,4788,3,3,2,1.0,1,2,18.09,1992,no,no,Residential,70445997
Angoda,1271,3,2,1,1.0,0,1,9.74,2009,no,no,Residential,18054033
Angoda,2569,1,4,1,1.0,0,1,6.27,1997,yes,no,Residential,73974163
Angoda,4756,2,3,4,1.0,1,1,12.3,2000,no,no,Residential,67014208
Angoda,3722,2,3,3,1.0,0,1,24.21,2015,no,yes,Residential,84757450
Angoda,5724,2,4,1,1.0,0,0,12.05,2012,no,yes,Residential,42739708
Athurugiriya,5299,1,5,4,1.0,1,0,10.64,1994,no,yes,Commercial,38022812
Athurugiriya,5377,2,3,4,1.0,0,2,12.78,1976,yes,yes,Commercial,56956051
Athurugiriya,4500,3,2,2,1.0,1,1,3.27,2000,no,yes,Residential,92413694
Athurugiriya,1123,2,1,4,1.0,0,1,5.93,2010,no,no,Residential,8417509
Athurugiriya,2993,1,2,2,1.0,0,0,21.69,1999,no,no,Commercial,13174788
Athurugiriya,3717,2,5,1,1.0,1,2,24.52,2004,no,no,Commercial,83415433
Athurugiriya,3193,2,1,2,1.0,1,0,6.47,1992,no,yes,Residential,69861443
Athurugiriya,2568,3,2,4,1.0,1,1,14.78,1981,no,no,Residential,90519151
Athurugiriya,5797,2,2,3,1.0,1,1,24.26,2001,no,no,Residential,16032416
Athurugiriya,2353,3,4,3,1.0,0,2,6.44,1985,no,yes,Residential,99397576
Athurugiriya,2896,3,5,1,1.0,0,0,7.1,2011,no,no,Residential,62165145
Athurugiriya,5840,1,4,1,1.0,0,1,23.39,1982,no,no,Commercial,46815539
Athurugiriya,2861,3,1,3,1.0,1,1,18.53,1985,yes,no,Residential,24762644
Athurugiriya,2886,3,4,2,1.0,0,2,6.34,1998,no,no,Residential,32965755
Athurugiriya,5775,1,5,1,1.0,0,1,11.66,2004,no,no,Residential,24737395
Athurugiriya,4802,3,3,4,1.0,0,1,4.24,2004,no,no,Residential,35239099
Athurugiriya,3478,1,3,1,1.0,1,0,12.52,1989,no,no,Residential,41136789
Athurugiriya,4743,2,1,2,1.0,1,2,20.11,2009,no,yes,Residential,25608928
Athurugiriya,4244,1,3,1,1.0,0,2,15.19,2013,no,no,Residential,29375737
Athurugiriya,5032,3,4,4,1.0,0,2,17.24,1998,no,no,Residential,86327919
Athurugiriya,5745,1,1,4,1.0,1,0,10.19,1982,no,no,Residential,42505156
Athurugiriya,5976,3,5,4,1.0,1,2,6.55,2017,no,no,Residential,89933544
Athurugiriya,2655,2,1,2,1.0,1,1,3.29,2016,no,no,Residential,12523584
Athurugiriya,5320,1,1,2,1.0,1,2,21.07,1994,no,yes,Residential,52468082
Athurugiriya,1876,2,2,4,1.0,0,1,17.01,2015,no,no,Residential,61940386
Athurugiriya,3366,3,2,4,1.0,1,2,8.05,2021,no,no,Residential,18362531
Athurugiriya,902,3,1,2,1.0,0,2,12.21,2000,no,no,Residential,27102251
Athurugiriya,1238,2,3,2,1.0,1,0,20.63,1998,no,no,Residential,81103327
Athurugiriya,655,1,2,2,1.0,0,2,14.85,1996,yes,yes,Commercial,35901212
Athurugiriya,5421,1,5,3,1.0,0,2,9.6,1979,no,yes,Residential,90935462
Athurugiriya,1125,3,4,2,1.0,1,0,8.88,1989,no,no,Residential,69400278
Athurugiriya,5169,2,2,4,1.0,0,1,7.79,2010,no,no,Residential,52920398
Athurugiriya,4723,2,1,3,1.0,0,2,21.12,2011,no,yes,Residential,53305661
Athurugiriya,2725,1,3,2,1.0,0,2,15.8,2003,no,no,Residential,6044184
Athurugiriya,3887,1,4,4,1.0,1,1,18.6,1989,no,yes,Residential,18978038
Athurugiriya,964,1,2,1,1.0,1,0,21.92,2001,no,yes,Commercial,18249099
Athurugiriya,5221,2,3,3,1.0,1,2,24.71,2023,no,no,Residential,95509202
Athurugiriya,5578,1,3,4,1.0,0,0,8.49,1982,no,no,Residential,18148154
Athurugiriya,5726,1,3,1,1.0,0,1,6.98,2003,no,no,Residential,82661983
Athurugiriya,5722,3,1,4,1.0,0,1,13.16,1993,no,yes,Residential,42942742
Athurugiriya,2246,1,5,2,1.0,0,0,3.77,2005,yes,yes,Residential,91824644
Athurugiriya,1518,1,3,2,1.0,1,1,20.42,1983,no,no,Commercial,81469558
Athurugiriya,3397,2,4,1,1.0,0,1,22.44,1984,no,no,Residential,34183992
Athurugiriya,2131,2,2,2,1.0,0,2,18.09,2011,no,no,Residential,41136247
Athurugiriya,3945,3,4,4,1.0,0,0,8.9,1984,no,yes,Residential,92985948
Athurugiriya,2506,1,1,1,1.0,1,2,5.71,2007,no,no,Residential,74423333
Athurugiriya,3686,3,1,4,1.0,0,0,11.41,1999,no,yes,Residential,79313198
Athurugiriya,5911,2,4,4,1.0,1,2,21.33,1978,no,no,Residential,91239395
Athurugiriya,5180,3,5,4,1.0,1,1,10.65,1979,no,yes,Commercial,77867910
Athurugiriya,2675,2,1,2,1.0,0,0,3.75,1997,no,no,Residential,90824337
Athurugiriya,1313,3,1,2,1.0,0,0,9.03,2013,no,no,Residential,30343572
Athurugiriya,1662,3,4,4,1.0,0,0,24.78,1979,no,no,Commercial,31686374
Athurugiriya,2576,1,1,3,1.0,0,0,17.89,1982,no,no,Residential,99327371
Athurugiriya,1896,3,5,4,1.0,1,1,22.82,1991,no,yes,Residential,42947723
Athurugiriya,5950,1,5,4,1.0,1,1,20.05,1975,no,no,Residential,15795975
Athurugiriya,725,1,5,1,1.0,1,1,14.87,1986,no,yes,Residential,98859946
Athurugiriya,5232,1,2,4,1.0,1,2,6.27,2009,no,no,Commercial,62137076
Athurugiriya,4196,1,5,2,1.0,1,1,10.67,1988,no,no,Residential,29918097
Athurugiriya,3883,3,5,1,1.0,1,2,15.84,2022,no,no,Residential,5979173
Athurugiriya,2203,2,2,3,1.0,1,2,22.15,1992,no,yes,Commercial,17738274
Athurugiriya,666,2,3,1,1.0,1,1,8.91,1984,no,no,Residential,27145043
Athurugiriya,832,2,1,3,1.0,1,1,5.67,1989,no,no,Residential,88245835
Athurugiriya,2756,3,5,1,1.0,1,1,15.29,2016,no,no,Residential,5163824
Athurugiriya,1769,1,1,1,1.0,0,2,6.88,2007,no,yes,Residential,50266242
Athurugiriya,2758,2,4,3,1.0,0,0,16.43,1993,no,no,Residential,58718483
Athurugiriya,4806,3,1,2,1.0,0,1,8.8,2008,no,yes,Residential,8981181
Athurugiriya,2093,1,2,2,1.0,1,2,8.08,2019,yes,no,Commercial,23739851
Athurugiriya,5318,2,1,2,1.0,0,2,11.78,1999,yes,no,Residential,99541109
Athurugiriya,4607,1,1,1,1.0,1,1,16.05,1990,no,no,Residential,14290199
